curve,tenor,pay_freq,daycount,par_coupon_%
SOFR,1M,Monthly,Act/360,3.6427899850091325
SOFR,1M,Monthly,Act/365F,3.6933842903564806
SOFR,1M,Monthly,Act/Act ISDA,3.6933842903564806
SOFR,1M,Monthly,Act/Act AFB,3.6933842903564806
SOFR,1M,Monthly,30/360 Bond,3.6427899850091325
SOFR,1M,Monthly,30E/360,3.6427899850091325
SOFR,1M,Monthly,Act/Act ICMA,3.6427899850091325
SOFR,3M,Monthly,Act/360,3.7146522166146485
SOFR,3M,Monthly,Act/365F,3.766244608512074
SOFR,3M,Monthly,Act/Act ISDA,3.7662446085120727
SOFR,3M,Monthly,Act/Act AFB,3.766244608512074
SOFR,3M,Monthly,30/360 Bond,3.79719537608491
SOFR,3M,Monthly,30E/360,3.79719537608491
SOFR,3M,Monthly,Act/Act ICMA,3.79719537608491
SOFR,3M,Quarterly,Act/360,3.7265556997267026
SOFR,3M,Quarterly,Act/365F,3.7783134177784614
SOFR,3M,Quarterly,Act/Act ISDA,3.778313417778461
SOFR,3M,Quarterly,Act/Act AFB,3.7783134177784614
SOFR,3M,Quarterly,30/360 Bond,3.8093680486095174
SOFR,3M,Quarterly,30E/360,3.8093680486095174
SOFR,3M,Quarterly,Act/Act ICMA,3.8093680486095174
SOFR,6M,Monthly,Act/360,3.807264377087391
SOFR,6M,Monthly,Act/365F,3.8601430489913815
SOFR,6M,Monthly,Act/Act ISDA,3.86014304899138
SOFR,6M,Monthly,Act/Act AFB,3.8601430489913815
SOFR,6M,Monthly,30/360 Bond,3.870818850176355
SOFR,6M,Monthly,30E/360,3.870818850176355
SOFR,6M,Monthly,Act/Act ICMA,3.870818850176355
SOFR,6M,Quarterly,Act/360,3.8196935554201255
SOFR,6M,Quarterly,Act/365F,3.8727448548009606
SOFR,6M,Quarterly,Act/Act ISDA,3.87274485480096
SOFR,6M,Quarterly,Act/Act AFB,3.8727448548009606
SOFR,6M,Quarterly,30/360 Bond,3.883459593793015
SOFR,6M,Quarterly,30E/360,3.883459593793015
SOFR,6M,Quarterly,Act/Act ICMA,3.883459593793015
SOFR,6M,Semiann,Act/360,3.838696121656883
