,AAA,AA,A,BBB,BB,B,CCC
1M,20.76002878131637,29.990798012094892,35.52925955056345,54.60618262748587,92.76002878132329,172.14464416595007,593.6831057044068
3M,28.989917480779017,38.22068671154103,43.759148250005,62.83607132692569,100.98991748077178,180.37453286538815,601.9129944038533
6M,32.944236741607455,42.17500597237578,47.71346751083878,66.7903905877603,104.94423674160696,184.32885212622284,605.867313664685
1Y,27.088114279349707,36.3188835101181,41.85734504857937,60.93426812550186,99.08811427934782,178.47272966396432,600.0111912024249
2Y,37.78142672494759,47.0121959557173,52.55065749417837,71.62758057110169,109.78142672494862,189.1660421095634,610.704503648025
3Y,46.46630758318268,57.52399989087505,64.15861527549062,87.01117937805452,132.71630758318247,227.81246142933662,732.7804101472854
5Y,63.79832403842794,77.83678557688933,86.25986249996616,115.27268301278662,173.2983240384277,294.0290932691971,935.1188368589408
7Y,77.22376294133409,93.49299371056483,103.25453217210317,136.8776090951801,204.12376294133395,344.03914755671843,1087.000686018257
10Y,85.88834265556066,103.84507342479137,114.61911188633003,151.72968880940684,225.95084265556085,380.37872727094515,1200.4027657324839
15Y,103.49428149645027,121.82761482978366,132.8276148297835,170.71650371867253,246.49428149645027,404.16094816311676,1241.3831703853389
20Y,121.47254939716883,140.31870324332263,151.62639555101498,190.57511349973285,268.47254939716873,430.5494724740919,1291.1904981151176
30Y,118.64467376417498,137.49082761032886,148.79851991802119,187.74723786673914,265.644673764175,427.721596841098,1288.3626224821237
