tenor,daycount,DF,Simple (paid),Comp Monthly,Comp Quarterly,Comp Semiann,Comp Annual,Continuous
1M,Act/360,0.996847907675155,3.672069013276253,3.6718819376734935,3.6831289950846724,3.700085794077701,3.734312381286542,3.6662755726438867
1M,Act/365F,0.996847907675155,3.723069971793979,3.7229593271349337,3.7345216271228665,3.7519549418521425,3.787147856566375,3.717196066708385
1M,Act/Act ISDA,0.996847907675155,3.723069971793979,3.7229593271349337,3.7345216271228665,3.7519549418521425,3.787147856566375,3.717196066708386
1M,Act/Act AFB,0.996847907675155,3.723069971793979,3.7229593271349337,3.7345216271228665,3.7519549418521425,3.787147856566375,3.717196066708385
1M,30/360 Bond,0.996847907675155,3.7944713137187946,3.7944713137187946,3.8064823040030227,3.824593938416365,3.861162735400825,3.788484758398683
1M,30E/360,0.996847907675155,3.7944713137187946,3.7944713137187946,3.8064823040030227,3.824593938416365,3.861162735400825,3.788484758398683
3M,Act/360,0.9905155447212258,3.746845374739659,3.7348205425016268,3.7464566722991144,3.7640015942958627,3.799420864300518,3.729020538613336
3M,Act/365F,0.9905155447212258,3.7988848938332644,3.786774810295679,3.7987370995425707,3.8167751039818842,3.853194534467841,3.780812490538521
3M,Act/Act ISDA,0.9905155447212258,3.798884893833263,3.786774810295679,3.7987370995425707,3.8167751039818842,3.853194534467841,3.78081249053852
3M,Act/Act AFB,0.9905155447212258,3.7988848938332644,3.786774810295679,3.7987370995425707,3.8167751039818842,3.853194534467841,3.780812490538521
3M,30/360 Bond,0.9905155447212258,3.8301086052894284,3.8179484473143788,3.8301086052894284,3.8484457701998043,3.8854721073152465,3.8118876616936324
3M,30E/360,0.9905155447212258,3.8301086052894284,3.8179484473143788,3.8301086052894284,3.8484457701998043,3.8854721073152465,3.8118876616936324
6M,Act/360,0.9806012696632596,3.870486281176787,3.8388270714847295,3.8511206610816195,3.869659574014417,3.90709523706132,3.832699888137033
6M,Act/365F,0.9806012696632596,3.924243035082019,3.8922304890395054,3.9048686868706994,3.9239286861977973,3.962421727033716,3.8859318310278246
6M,Act/Act ISDA,0.9806012696632596,3.92424303508202,3.8922304890395054,3.9048686868706994,3.9239286861977973,3.962421727033716,3.885931831027825
6M,Act/Act AFB,0.9806012696632596,3.924243035082019,3.8922304890395054,3.9048686868706994,3.9239286861977973,3.962421727033716,3.8859318310278246
6M,30/360 Bond,0.9806012696632596,3.9564970874251593,3.9242736766979647,3.9371209358457726,3.9564970874251593,3.995631760432161,3.9178709967623
6M,30E/360,0.9806012696632596,3.9564970874251593,3.9242736766979647,3.9371209358457726,3.9564970874251593,3.995631760432161,3.9178709967623
12M,Act/360,0.9607414177524664,4.030303340122949,3.956643880884414,3.9697040781674353,3.989402266252684,4.029190592357623,3.950135254303312
12M,Act/365F,0.9607414177524664,4.086279775402435,4.011689023253684,4.025115342342467,4.045367284241408,4.086279775402435,4.004998243946414
12M,Act/Act ISDA,0.9607414177524664,4.086279775402435,4.011689023253684,4.025115342342467,4.045367284241408,4.086279775402435,4.004998243946414
12M,Act/Act AFB,0.9607414177524664,4.086279775402435,4.011689023253684,4.025115342342467,4.045367284241408,4.086279775402435,4.004998243946414
12M,30/360 Bond,0.9607414177524664,4.086279775402435,4.011689023253684,4.025115342342467,4.045367284241408,4.086279775402435,4.004998243946414
12M,30E/360,0.9607414177524664,4.086279775402435,4.011689023253684,4.025115342342467,4.045367284241408,4.086279775402435,4.004998243946414
24M,Act/360,0.9223404724595409,4.146566186938919,3.9878297303949317,4.0010967320278645,4.021107700851667,4.061530968706273,3.981218213088228
24M,Act/365F,0.9223404724595409,4.204157383979737,4.043309460877431,4.0569483883011515,4.077521926082817,4.1190873887270385,4.036512910492231
24M,Act/Act ISDA,0.9223404724595409,4.207318227212938,4.046354492092608,4.060013981845589,4.080618623761545,4.122247244643029,4.039547712321362
24M,Act/Act AFB,0.9223404724595409,4.20991650368382,4.048857574531262,4.062533978581495,4.083164206490464,4.124844781333348,4.0420423802326315
24M,30/360 Bond,0.9223404724595409,4.20991650368382,4.048857574531262,4.062533978581495,4.083164206490464,4.124844781333348,4.0420423802326315
24M,30E/360,0.9223404724595409,4.20991650368382,4.048857574531262,4.062533978581495,4.083164206490464,4.124844781333348,4.0420423802326315
