tenor,pay_freq,daycount,par_coupon_%
1M,Monthly,Act/360,3.6440981957370817
1M,Monthly,Act/365F,3.694710670677874
1M,Monthly,Act/Act ISDA,3.694710670677874
1M,Monthly,Act/Act AFB,3.694710670677874
1M,Monthly,30/360 Bond,3.6440981957370817
1M,Monthly,30E/360,3.6440981957370817
1M,Monthly,Act/Act ICMA,3.6440981957370817
3M,Monthly,Act/360,3.722721412205638
3M,Monthly,Act/365F,3.77442587626405
3M,Monthly,Act/Act ISDA,3.7744258762640497
3M,Monthly,Act/Act AFB,3.77442587626405
3M,Monthly,30/360 Bond,3.80530668524442
3M,Monthly,30E/360,3.80530668524442
3M,Monthly,Act/Act ICMA,3.8055646821877516
3M,Quarterly,Act/360,3.734684078593669
3M,Quarterly,Act/365F,3.786554690796358
3M,Quarterly,Act/Act ISDA,3.786554690796357
3M,Quarterly,Act/Act AFB,3.786554690796358
3M,Quarterly,30/360 Bond,3.817677058117972
3M,Quarterly,30E/360,3.817677058117972
3M,Quarterly,Act/Act ICMA,3.817677058117972
6M,Monthly,Act/360,3.829993007261076
6M,Monthly,Act/365F,3.883187354584146
6M,Monthly,Act/Act ISDA,3.883187354584146
6M,Monthly,Act/Act AFB,3.883187354584146
6M,Monthly,30/360 Bond,3.893854801506205
6M,Monthly,30E/360,3.893854801506205
6M,Monthly,Act/Act ICMA,3.8940569308463133
6M,Quarterly,Act/360,3.8425836333693066
6M,Quarterly,Act/365F,3.895952850499435
6M,Quarterly,Act/Act ISDA,3.8959528504994347
6M,Quarterly,Act/Act AFB,3.895952850499435
6M,Quarterly,30/360 Bond,3.9067328135661867
6M,Quarterly,30E/360,3.9067328135661867
6M,Quarterly,Act/Act ICMA,3.9067328135661867
6M,Semiann,Act/360,3.8618854985076596
6M,Semiann,Act/365F,3.9155227970980437
6M,Semiann,Act/Act ISDA,3.9155227970980437
6M,Semiann,Act/Act AFB,3.9155227970980437
6M,Semiann,30/360 Bond,3.926250256816121
6M,Semiann,30E/360,3.926250256816121
6M,Semiann,Act/Act ICMA,3.926250256816121
12M,Monthly,Act/360,3.9733137911371554
12M,Monthly,Act/365F,4.028498704902949
12M,Monthly,Act/Act ISDA,4.028498704902949
12M,Monthly,Act/Act AFB,4.028498704902949
12M,Monthly,30/360 Bond,4.02862162333109
12M,Monthly,30E/360,4.02862162333109
12M,Monthly,Act/Act ICMA,4.02880045762067
12M,Quarterly,Act/360,3.986755477692682
12M,Quarterly,Act/365F,4.042127081549524
12M,Quarterly,Act/Act ISDA,4.042127081549524
12M,Quarterly,Act/Act AFB,4.042127081549524
12M,Quarterly,30/360 Bond,4.042180238777685
12M,Quarterly,30E/360,4.042180238777685
12M,Quarterly,Act/Act ICMA,4.042180238777685
12M,Semiann,Act/360,4.00723678104183
12M,Semiann,Act/365F,4.062892847445189
12M,Semiann,Act/Act ISDA,4.062892847445189
12M,Semiann,Act/Act AFB,4.062892847445189
12M,Semiann,30/360 Bond,4.063008582684378
12M,Semiann,30E/360,4.063008582684378
12M,Semiann,Act/Act ICMA,4.063008582684378
12M,Annual,Act/360,4.0494545705592
12M,Annual,Act/365F,4.1056969951503
12M,Annual,Act/Act ISDA,4.1056969951503
12M,Annual,Act/Act AFB,4.1056969951503
12M,Annual,30/360 Bond,4.1056969951503
12M,Annual,30E/360,4.1056969951503
12M,Annual,Act/Act ICMA,4.1056969951503
24M,Monthly,Act/360,3.9915968100243817
24M,Monthly,Act/365F,4.047035654608053
24M,Monthly,Act/Act ISDA,4.049573145863449
24M,Monthly,Act/Act AFB,4.047461706689403
24M,Monthly,30/360 Bond,4.052542606995456
24M,Monthly,30E/360,4.052542606995456
24M,Monthly,Act/Act ICMA,4.052721649486532
24M,Quarterly,Act/360,4.005122654426499
24M,Quarterly,Act/365F,4.0607493579602
24M,Quarterly,Act/Act ISDA,4.063296036002834
24M,Quarterly,Act/Act AFB,4.0620956604144585
24M,Quarterly,30/360 Bond,4.066225942018828
24M,Quarterly,30E/360,4.066225942018828
24M,Quarterly,Act/Act ICMA,4.066225942018828
24M,Semiann,Act/360,4.025578090978535
24M,Semiann,Act/365F,4.081488897797681
24M,Semiann,Act/Act ISDA,4.084049619895589
24M,Semiann,Act/Act AFB,4.084197736752284
24M,Semiann,30/360 Bond,4.087024446755925
24M,Semiann,30E/360,4.087024446755925
24M,Semiann,Act/Act ICMA,4.087024446755925
24M,Annual,Act/360,4.067143352507434
24M,Annual,Act/365F,4.123631454625592
24M,Annual,Act/Act ISDA,4.126245347056166
24M,Annual,Act/Act AFB,4.129165336935465
24M,Annual,30/360 Bond,4.129165336935465
24M,Annual,30E/360,4.129165336935465
24M,Annual,Act/Act ICMA,4.129165336935465
