years,date,zero_cont_%,fwd_cont_%,discount_factor
1,2027-06-17,3.932898544056896,3.932898544056896,0.9609093326419065
2,2028-06-20,3.956094919912373,3.956094919912373,0.922506940280932
3,2029-06-18,3.9272499897584323,3.9272499897584323,0.8872113638057748
4,2030-06-17,3.9069496567286954,3.9069496567286954,0.8533742857323531
5,2031-06-17,3.894513874934539,3.894513874934539,0.8207486247429951
6,2032-06-17,3.909661002660055,3.909661002660055,0.7881594086167982
7,2033-06-17,3.920896441567328,3.920896441567328,0.756923898378872
8,2034-06-20,3.953948553022599,3.953948553022599,0.7252358839058546
9,2035-06-18,3.9797211145938913,3.9797211145938913,0.6952518012109491
10,2036-06-17,4.000471206444549,4.000471206444549,0.6663523440251559
11,2037-06-17,4.0410769362264825,4.0410769362264825,0.6369723143344868
12,2038-06-17,4.075405012484327,4.075405012484327,0.608851696720675
13,2039-06-17,4.104455183167566,4.104455183167566,0.5819725288797759
14,2040-06-18,4.129484426518119,4.129484426518119,0.5561423945207369
15,2041-06-17,4.150997004125038,4.150997004125038,0.531655964057462
16,2042-06-17,4.150165981183644,4.150165981183644,0.5098135146855152
17,2043-06-17,4.148963625923945,4.148963625923945,0.4889079852274842
18,2044-06-17,4.147892019080092,4.147892019080092,0.4688059308841924
19,2045-06-20,4.146928463642801,4.146928463642801,0.44942727403028365
20,2046-06-18,4.14607309839392,4.14607309839392,0.43109685110597284
21,2047-06-17,4.145296675805119,4.145296675805119,0.41346662292921216
22,2048-06-17,4.144586905863002,4.144586905863002,0.39646643317082014
23,2049-06-17,4.143940665973056,4.143940665973056,0.3802088400332867
24,2050-06-17,4.14334824254668,4.14334824254668,0.36461790947425127
25,2051-06-20,4.142798882393756,4.142798882393756,0.3495459897629016
26,2052-06-17,4.142298697017856,4.142298697017856,0.335289343150442
27,2053-06-17,4.141832882265578,4.141832882265578,0.32154039174314314
28,2054-06-17,4.141400317221833,4.141400317221833,0.308355232978414
29,2055-06-17,4.140997564534766,4.140997564534766,0.2957107478463462
30,2056-06-20,4.140617663893612,4.140617663893612,0.2834546703629317
